Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
100__M_Right_index_finger.BMP,0.75,Degraded input,0.04761685501696956,13.222392921289629,0.3539538532269868,0.3996579349040985,3.3333333333333335,0.0,161,68
100__M_Right_index_finger.BMP,0.75,Global HE baseline,0.055680827239490284,12.542943211188115,0.40501892775746123,0.40829145908355713,5.0,0.0032417000038549304,161,68
100__M_Right_index_finger.BMP,0.75,M1 CLAHE baseline,0.10689283562639948,9.710514019211503,0.4062249938041969,0.40926000475883484,1.0,0.006485500023700297,161,68
100__M_Right_index_finger.BMP,0.75,M1 Wiener + CLAHE,0.06245045365986744,12.044644024257709,0.528003138637521,0.5931046605110168,4.0,0.010718200006522238,161,68
100__M_Right_index_finger.BMP,0.75,Gabor,0.08482417891637148,10.714803355592363,0.3414691966466935,0.4403727352619171,0.3333333333333333,0.8795760999782942,161,68
100__M_Right_index_finger.BMP,0.75,Hybrid,0.06331753086302955,11.984760292719283,0.4979913117246585,0.5912426710128784,1.0,0.8848497999715619,161,68
100__M_Right_little_finger.BMP,0.35,Degraded input,0.015030377033854693,18.23030125090482,0.6506499463224802,0.7181093692779541,26.0,0.0,147,48
100__M_Right_little_finger.BMP,0.35,Global HE baseline,0.03178072125889137,14.97836250766082,0.5410700474147797,0.701519787311554,21.0,0.0032338000019080937,147,48
100__M_Right_little_finger.BMP,0.35,M1 CLAHE baseline,0.08062299681799037,10.935410628273823,0.5135576328880047,0.6710096001625061,3.3333333333333335,0.00788659998215735,147,48
100__M_Right_little_finger.BMP,0.35,M1 Wiener + CLAHE,0.030877494633179688,15.103579450955731,0.6445810885840836,0.7461245656013489,7.0,0.011550900002475828,147,48
100__M_Right_little_finger.BMP,0.35,Gabor,0.05845743818671389,12.33160220893603,0.4778830068457153,0.699549674987793,2.0,0.9161493999999948,147,48
100__M_Right_little_finger.BMP,0.35,Hybrid,0.032063088168046885,14.939946507357096,0.6400819998836811,0.7468420267105103,6.0,0.896003500034567,147,48
100__M_Right_middle_finger.BMP,0.55,Degraded input,0.029319538359486547,15.328428720086029,0.5511808460732186,0.6152935028076172,15.333333333333334,0.0,133,55
100__M_Right_middle_finger.BMP,0.55,Global HE baseline,0.02481494298895364,16.052867182345917,0.6395985413041618,0.6223151683807373,17.666666666666668,0.0033210000256076455,133,55
100__M_Right_middle_finger.BMP,0.55,M1 CLAHE baseline,0.05562566388758609,12.547247927122312,0.6232232805102238,0.6131360530853271,5.0,0.006564099981915206,133,55
100__M_Right_middle_finger.BMP,0.55,M1 Wiener + CLAHE,0.04219439717002045,13.747452134859277,0.6626273663685778,0.7061532139778137,3.3333333333333335,0.010463799990247935,133,55
