image,candidate,member,parameters_json,baseline_psnr,baseline_mse,baseline_ssim,mse,psnr,ssim,coherence,contrast,fragmentation,continuity,ridge_coverage,delta_psnr,delta_mse,delta_ssim,runtime_seconds
384__F_Left_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.13703414382276,0.0019332881351077943,0.8732754213032723,0.0029977810444441525,25.232000908547487,0.8673823009533547,0.6032479405403137,0.19945979118347168,9.410801963993453,11.918287937743191,0.3729248046875,-1.9050332352752726,0.0010644929093363582,-0.005893120349917624,4.171447700005956
410__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.172578282168498,0.001917530019942655,0.8590272322995662,0.0031396299313810943,25.031215392614076,0.849264679589644,0.5942935943603516,0.1784546971321106,2.594825612455163,26.393728222996515,0.399871826171875,-2.141362889554422,0.0012220999114384394,-0.009762552709922212,4.004017900035251
337__F_Right_index_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.1670497656429,0.0019199725669341115,0.8783707026723028,0.0035592408158470847,24.486426269286103,0.8665543552136011,0.656855046749115,0.21076726913452148,4.971839192076131,23.986363636363638,0.3928375244140625,-2.680623496356798,0.0016392682489129733,-0.011816347458701637,3.9620538000017405
74__F_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.081354535094363,0.001958233818376267,0.8777061184492111,0.003233566316919873,24.90318227719179,0.869386888185028,0.6555504202842712,0.20128133893013,5.701431175580809,18.783236994219653,0.3934173583984375,-2.178172257902574,0.0012753324985436058,-0.00831923026418313,4.097849699959625
296__M_Left_index_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.391662357015832,0.0018231976999867365,0.8645058621141016,0.003471121898523101,24.595301345491713,0.8547791703958139,0.646320104598999,0.207998126745224,6.275888038157399,17.639097744360903,0.3647003173828125,-2.7963610115241195,0.0016479241985363647,-0.009726691718287772,3.902191800007131
103__F_Left_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.088767679458144,0.0019548940827578748,0.8772183270350099,0.0031261583614928977,25.049890257472526,0.8691383622391895,0.6372362971305847,0.19680571556091309,8.293100763121009,15.495305164319248,0.39190673828125,-2.0388774219856174,0.001171264278735023,-0.008079964795820405,3.987981399986893
355__M_Right_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.07127176320906,0.0019627854217751043,0.9183189378033877,0.003943873837289081,24.040769863894337,0.9013491070622839,0.7261194586753845,0.21367141604423523,3.3134974303489315,35.827586206896555,0.4512939453125,-3.030501899314725,0.0019810884155139763,-0.01696983074110381,3.7768063000403345
86__M_Right_index_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.582988301158558,0.0017446212977138959,0.8206633272415698,0.003722546766955471,24.29159837429886,0.8031092901994846,0.5995945930480957,0.17461639642715454,2.0353333876088904,49.188976377952756,0.374847412109375,-3.291389926859697,0.0019779254692415755,-0.017554037042085135,4.658166799985338
576__M_Left_little_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.250599018190513,0.0018833892975043372,0.8615081280892491,0.002803731681039756,25.522635509834167,0.8556308108423799,0.5529325008392334,0.19365739822387695,12.179943100995734,9.71304347826087,0.34326171875,-1.7279635083563463,0.0009203423835354189,-0.00587731724686924,4.062608300009742
537__M_Right_thumb_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.160549724632475,0.0019228483217214737,0.8889713668987751,0.0029614424373467065,25.284967044836645,0.879848854303971,0.6499672532081604,0.20195406675338745,4.074241738343142,24.71884984025559,0.40447998046875,-1.87558267979583,0.0010385941156252328,-0.009122512594804122,3.7489232000079937
