image,method,stages,baseline_psnr,baseline_mse,baseline_ssim,mse,psnr,ssim,coherence,contrast,fragmentation,continuity,ridge_coverage,delta_psnr,delta_mse,delta_ssim,runtime_seconds
52__M_Right_little_finger.BMP,M3 TV,TV,26.879822313048408,0.0020512461016534865,0.7911558452983201,0.0009503713708462451,30.22106654928927,0.9151933128168583,0.5788462162017822,0.12519660592079163,8.038106579339088,15.88341968911917,0.3587799072265625,3.341244236240861,-0.0011008747308072415,0.12403746751853828,0.029307199991308153
384__F_Left_middle_finger.BMP,M3 TV,TV,27.13703414382276,0.0019332881351077943,0.8732754213032723,0.0013473174250908063,28.705300733751624,0.9452597654626369,0.6499377489089966,0.20033755898475647,7.669209543905211,12.4375,0.37603759765625,1.5682665899288644,-0.000585970710016988,0.07198434415936461,0.05198899999959394
410__M_Right_ring_finger.BMP,M3 TV,TV,27.172578282168498,0.001917530019942655,0.8590272322995662,0.0013301828220132505,28.76088664946483,0.9458726369031668,0.6386489868164062,0.17733794450759888,2.49934718543664,25.438661710037174,0.4090423583984375,1.5883083672963316,-0.0005873471979294044,0.08684540460360057,0.019877899962011725
337__F_Right_index_finger.BMP,M3 TV,TV,27.1670497656429,0.0019199725669341115,0.8783707026723028,0.0012548639975604342,29.014033405651407,0.948008709911108,0.6985312700271606,0.21707534790039062,3.7669126691266914,25.473958333333332,0.39697265625,1.8469836400085065,-0.0006651085693736773,0.0696380072388052,0.017672099987976253
74__F_Right_ring_finger.BMP,M3 TV,TV,27.081354535094363,0.001958233818376267,0.8777061184492111,0.0013591907271502742,28.667195970298323,0.9462854996604919,0.6963770389556885,0.2026795595884323,4.946319018404909,19.093167701863354,0.39794921875,1.5858414352039603,-0.000599043091225993,0.06857938121128082,0.02014389995019883
296__M_Left_index_finger.BMP,M3 TV,TV,27.391662357015832,0.0018231976999867365,0.8645058621141016,0.0011555308697924706,29.3721844793351,0.9329840414656401,0.6843225955963135,0.21848991513252258,4.468534072572303,19.105263157894736,0.3687896728515625,1.9805221223192682,-0.0006676668301942659,0.06847817935153844,0.00647459999890998
103__F_Left_middle_finger.BMP,M3 TV,TV,27.088767679458144,0.0019548940827578748,0.8772183270350099,0.0013466631636846905,28.707410193078605,0.9436883691824675,0.6763342022895813,0.19779513776302338,6.078674306953694,16.914835164835164,0.39410400390625,1.6186425136204612,-0.0006082309190731843,0.06647004214745755,0.01793789997464046
355__M_Right_middle_finger.BMP,M3 TV,TV,27.07127176320906,0.0019627854217751043,0.9183189378033877,0.0013700939923151573,28.632496379942598,0.9516730094845295,0.7649431228637695,0.22213482856750488,2.171195473386407,43.79333333333334,0.463836669921875,1.5612246167335364,-0.000592691429459947,0.033354071681141795,0.017863299988675863
86__M_Right_index_finger.BMP,M3 TV,TV,27.582988301158558,0.0017446212977138959,0.8206633272415698,0.0011232642254634996,29.495180726226025,0.939162298103571,0.6549491286277771,0.1798221319913864,1.16780091007933,60.226190476190474,0.382693789489906,1.9121924250674667,-0.0006213570722503963,0.11849897086200123,0.024351000029128045
576__M_Left_little_finger.BMP,M3 TV,TV,27.250599018190513,0.0018833892975043372,0.8615081280892491,0.0012923966435140232,28.886041785600195,0.9436987577652931,0.603450357913971,0.1941058337688446,10.850310008857397,10.07442748091603,0.34454345703125,1.6354427674096819,-0.000590992653990314,0.08219062967604396,0.045955699984915555
