split,filename,subject_id,method,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,mean_absolute_change,runtime_seconds
development,470__F_Left_index_finger.BMP,470,M1 NLM,"{""h"": 0.07}",28.133949643174056,0.7459431124183834,0.0015367564184578272,31.405699182412945,0.9608081511228085,0.0007234859169525804,3.27174953923889,0.21486503870442508,-0.0008132705015052468,0.02288428135216236,0.41496200000256067
development,470__F_Left_little_finger.BMP,470,M1 NLM,"{""h"": 0.07}",28.327626771703812,0.7130688598952889,0.0014697292005971575,31.411282688754156,0.9561497792356014,0.0007225563650614564,3.0836559170503435,0.2430809193403125,-0.0007471728355357011,0.022517452016472816,0.42437909999716794
development,470__F_Left_middle_finger.BMP,470,M1 NLM,"{""h"": 0.07}",28.16470653625059,0.7449561038237215,0.001525911501017648,31.494036385378735,0.9566859000520707,0.0007089185841880881,3.3293298491281433,0.2117297962283492,-0.0008169929168295599,0.022730974480509758,0.43550880000111647
development,470__F_Left_ring_finger.BMP,470,M1 NLM,"{""h"": 0.07}",28.377701313850427,0.7209687273773551,0.0014528804121575277,31.418589190248582,0.9491004594665766,0.0007213417696854425,3.0408878763981555,0.22813173208922155,-0.0007315386424720852,0.02423539012670517,0.43556209999951534
development,470__F_Left_thumb_finger.BMP,470,M1 NLM,"{""h"": 0.07}",27.507522688430683,0.8424409932396412,0.0017752018064236539,29.776981255372288,0.9569958684486151,0.0010526933379129768,2.269458566941605,0.1145548752089739,-0.000722508468510677,0.019888876006007195,0.43490830000519054
development,470__F_Right_index_finger.BMP,470,M1 NLM,"{""h"": 0.07}",28.214565289387025,0.7059878581789732,0.0015084935968839085,30.1702142934257,0.845318411959529,0.0009615648308304434,1.9556490040386763,0.1393305537805557,-0.000546928766053465,0.026719005778431892,0.41908739999780664
development,470__F_Right_little_finger.BMP,470,M1 NLM,"{""h"": 0.07}",28.225990208025095,0.7106608752552271,0.0015045304409989717,31.201318092746288,0.9357859360561371,0.0007583473800983268,2.9753278847211924,0.22512506080091,-0.000746183060900645,0.02349826879799366,0.44603559999814024
development,470__F_Right_middle_finger.BMP,470,M1 NLM,"{""h"": 0.07}",27.99238090038815,0.7877955089430213,0.0015876761100837291,31.172591419010303,0.9529158990550041,0.0007633801415618774,3.180210518622154,0.16512039011198276,-0.0008242959685218518,0.02397228218615055,0.41076279999833787
development,470__F_Right_ring_finger.BMP,470,M1 NLM,"{""h"": 0.07}",28.175147109810183,0.749459243629396,0.0015222475684804621,31.08619608965551,0.936744858124733,0.0007787183183451309,2.911048979845326,0.18728561449533698,-0.0007435292501353312,0.02390008047223091,0.4440671999982442
development,470__F_Right_thumb_finger.BMP,470,M1 NLM,"{""h"": 0.07}",27.378970878121308,0.9028311878447532,0.001828533461539503,29.248964645846538,0.9234423446948529,0.0011887855990795402,1.86999376772523,0.02061115685009962,-0.0006397478624599628,0.028070956468582153,0.42950589999963995
development,503__M_Left_index_finger.BMP,503,M1 NLM,"{""h"": 0.07}",27.558826483469133,0.8253404413299561,0.0017543544857281078,29.57176789250392,0.9332260651073456,0.0011036292715519457,2.012941409034788,0.10788562377738953,-0.000650725214176162,0.02373681403696537,0.4350421999988612
development,503__M_Left_little_finger.BMP,503,M1 NLM,"{""h"": 0.07}",27.795892542403124,0.7767085953725874,0.0016611572491486452,30.37955099396809,0.9458881395499706,0.0009163152207277773,2.5836584515649648,0.16917954417738323,-0.0007448420284208679,0.022142797708511353,0.4212709999992512
development,503__M_Left_middle_finger.BMP,503,M1 NLM,"{""h"": 0.07}",27.554136114835103,0.8208168461535275,0.0017562502073207595,29.605263878574117,0.9208269809365273,0.0010951500117160075,2.0511277637390144,0.1000101347829998,-0.000661100195604752,0.02584186941385269,0.42881299999862676
development,503__M_Left_ring_finger.BMP,503,M1 NLM,"{""h"": 0.07}",27.62301142125986,0.8177495028933287,0.0017286173110234886,30.00259649295338,0.9382586027903557,0.0009994023140885745,2.379585071693519,0.12050909989702696,-0.0007292149969349141,0.023919543251395226,0.42953269999998156
development,503__M_Left_thumb_finger.BMP,503,M1 NLM,"{""h"": 0.07}",27.846020264971038,0.7823283968015909,0.0016420938459679472,30.21972357326186,0.9322001122543812,0.0009506653012050033,2.373703308290821,0.1498717154527902,-0.000691428544762944,0.02263871766626835,0.40901980000489857
development,503__M_Right_index_finger.BMP,503,M1 NLM,"{""h"": 0.07}",27.79343889482849,0.8155751483942568,0.0016620960236962943,29.650276980626344,0.907430188079834,0.0010838577864604204,1.856838085797854,0.09185503968557718,-0.000578238237235874,0.024963421747088432,0.43779389999690466
development,503__M_Right_little_finger.BMP,503,M1 NLM,"{""h"": 0.07}",27.991153400585176,0.7409707042609454,0.0015881249178941682,31.00052892047451,0.9614017056480646,0.0007942315006183954,3.009375519889332,0.22043100138711924,-0.0007938934172757728,0.020773421972990036,0.42459369999414776
