filename,subject_id,candidate,member,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,runtime_seconds
443__M_Left_middle_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.14151541310484,0.8253531774876117,0.0019312942998486661,24.778591894127672,0.8114785485249385,0.0033276742844225334,-2.362923518977169,-0.013874628962673219,0.0013963799845738672,1.1828397000208497
443__M_Left_ring_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.237265248598867,0.8298590763946772,0.0018891805912286746,24.543999744766147,0.8189811884601079,0.003512368111077856,-2.69326550383272,-0.01087788793456923,0.0016231875198491816,1.135967599984724
443__M_Left_thumb_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",26.800304933742755,0.8761664312357903,0.00208914943902406,24.057230383232593,0.8608681087082476,0.003928954158621949,-2.743074550510162,-0.015298322527542707,0.001839804719597889,1.0866418000077829
443__M_Right_index_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.35710649714296,0.896552869089663,0.0018377623514359127,22.829296195772862,0.8360599770829045,0.005212791811548991,-4.527810301370099,-0.06049289200675856,0.003375029460113078,1.1027744999737479
443__M_Right_little_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.00440155233622,0.8630209608132839,0.0019932411512218785,24.071521590959335,0.8483529284325652,0.003916046507519007,-2.9328799613768837,-0.014668032380718787,0.0019228053562971286,1.2007851999951527
443__M_Right_middle_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.064112289055643,0.8992271602718234,0.001966023800672798,23.318079840047496,0.8693184515634105,0.004657919900910923,-3.7460324490081476,-0.02990870870841289,0.002691896100238125,1.282133899978362
443__M_Right_ring_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",26.925258364749403,0.8801929126424491,0.0020298977562655464,24.004106531720375,0.8663030193224587,0.003977309127116537,-2.921151833029029,-0.013889893319990465,0.0019474113708509906,1.1957793000037782
443__M_Right_thumb_finger.BMP,443,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.180918571542815,0.9082978897159397,0.001913851085644088,23.02758714530755,0.8705673886291831,0.004980136947425498,-4.153331426235265,-0.037730501086756574,0.00306628586178141,1.1523583000525832
572__F_Left_index_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.6241298412811,0.7974931483537555,0.001728172204909599,24.689651956645818,0.7829562077249251,0.003396524912313385,-2.9344778846352817,-0.014536940628830375,0.001668352707403786,1.0039400999667123
572__F_Left_little_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.812594150599153,0.7617954299381375,0.0016547812255908382,25.188106041571015,0.7540990511925835,0.003028233753058059,-2.624488109028139,-0.007696378745554067,0.0013734525274672208,1.0964263000059873
