split,filename,subject_id,noise_seed,psnr,ssim,mse
development,344__M_Right_index_finger.BMP,344,20261128,28.06532231982077,0.7543945262865425,0.0015612331638131629
development,344__M_Right_little_finger.BMP,344,20261129,27.731778392957537,0.7995503482174575,0.0016858625399856957
development,344__M_Right_middle_finger.BMP,344,20261130,27.123512802150984,0.8627072790634036,0.001939316621763977
development,344__M_Right_ring_finger.BMP,344,20261131,27.835652295697912,0.7775291997701526,0.0016460187212879532
development,344__M_Right_thumb_finger.BMP,344,20261132,27.33616603778286,0.8854889540035129,0.0018466449224242521
development,11__M_Left_index_finger.BMP,11,20261133,27.203616911366883,0.9008611038495302,0.0019038744639929986
development,11__M_Left_little_finger.BMP,11,20261134,27.603947845869165,0.8116633612370789,0.0017362218419469892
development,11__M_Left_middle_finger.BMP,11,20261135,27.590430544347054,0.8268025367977023,0.0017416342053143082
development,11__M_Left_ring_finger.BMP,11,20261136,27.392334022377923,0.8411362929831148,0.001822915752113899
development,11__M_Left_thumb_finger.BMP,11,20261137,27.226832768569444,0.8868178059300185,0.0018937241741067202
development,11__M_Right_index_finger.BMP,11,20261138,27.136074356580547,0.9018011115424037,0.001933715437414644
development,11__M_Right_little_finger.BMP,11,20261139,27.152824278914682,0.8622665558641552,0.0019262718237624946
development,11__M_Right_middle_finger.BMP,11,20261140,27.00580270522638,0.9078310691341758,0.001992598180785455
development,11__M_Right_ring_finger.BMP,11,20261141,27.021850611583677,0.8927556960483194,0.0019852487847385036
development,11__M_Right_thumb_finger.BMP,11,20261142,27.17641616657664,0.8897543843449354,0.001915836236548887
development,596__M_Left_index_finger.BMP,596,20261143,27.260806598241672,0.8798176140753031,0.0018789678110145568
development,596__M_Left_little_finger.BMP,596,20261144,27.245229741228027,0.8731450250470638,0.0018857192125455908
development,596__M_Left_middle_finger.BMP,596,20261145,26.99262791235228,0.912509316891849,0.0019986521208996
development,596__M_Left_ring_finger.BMP,596,20261146,27.129796070868846,0.8973039204165042,0.001936512893520118
development,596__M_Left_thumb_finger.BMP,596,20261147,27.379324201259738,0.8905684232832194,0.0018283847060455828
development,596__M_Right_index_finger.BMP,596,20261148,27.133718326101807,0.9018753187772035,0.001934764755031613
development,596__M_Right_little_finger.BMP,596,20261149,27.37921045502823,0.8755564471014738,0.0018284325939654745
development,596__M_Right_middle_finger.BMP,596,20261150,26.909507831988964,0.9266714336516261,0.0020372729403576964
development,596__M_Right_ring_finger.BMP,596,20261151,27.017619156241306,0.899512990084827,0.001987184012026754
development,596__M_Right_thumb_finger.BMP,596,20261152,27.048373670607816,0.9173447010877133,0.001973161499765388
development,64__M_Left_index_finger.BMP,64,20261153,27.62826064340018,0.8292306531518697,0.0017265292313591058
development,64__M_Left_little_finger.BMP,64,20261154,27.893549799331836,0.7610234317880273,0.0016242206213852067
development,64__M_Left_middle_finger.BMP,64,20261155,27.366287206965186,0.8809769827733636,0.0018338815417542622
development,64__M_Left_ring_finger.BMP,64,20261156,27.55558662593171,0.8294891931387186,0.001755663730828133
development,64__M_Left_thumb_finger.BMP,64,20261157,27.204435955098237,0.91235571216169,0.0019035154427577963
development,64__M_Right_index_finger.BMP,64,20261158,27.238002271579553,0.8908969863732458,0.001888860013503536
development,64__M_Right_little_finger.BMP,64,20261159,27.444163471016246,0.8477464560411573,0.0018012900617678633
development,64__M_Right_middle_finger.BMP,64,20261160,27.4283313174614,0.8536297265289425,0.0018078686269653874
development,64__M_Right_ring_finger.BMP,64,20261161,27.374413374669906,0.8559058133390546,0.0018304533389655862
development,64__M_Right_thumb_finger.BMP,64,20261162,27.17219743797839,0.9198942623021007,0.0019176981805384982
development,135__F_Left_index_finger.BMP,135,20261163,27.423818629850537,0.8518224754294157,0.0018097481319487815
development,135__F_Left_little_finger.BMP,135,20261164,27.84520262745671,0.7640395160872936,0.0016424030287879527
development,135__F_Left_middle_finger.BMP,135,20261165,27.277573154300654,0.8487684782577753,0.0018717277731732577
development,135__F_Left_ring_finger.BMP,135,20261166,27.513315591185844,0.8218552142975032,0.0017728355051089403
development,135__F_Left_thumb_finger.BMP,135,20261167,27.40938655376724,0.8404738877059519,0.0018157721246788688
development,135__F_Right_index_finger.BMP,135,20261168,27.76410661094929,0.810985444376856,0.0016733598285670905
development,135__F_Right_little_finger.BMP,135,20261169,27.623988349878612,0.7982188686416746,0.0017282285089849337
development,135__F_Right_middle_finger.BMP,135,20261170,27.462280945105775,0.8639801968122423,0.0017937912676214527
development,135__F_Right_ring_finger.BMP,135,20261171,27.609956684626994,0.804960805271864,0.0017338212903388998
development,135__F_Right_thumb_finger.BMP,135,20261172,27.4081633167771,0.8748101439685225,0.0018162836284053958
development,424__M_Left_index_finger.BMP,424,20261173,27.317375192056165,0.8694038546025753,0.0018546522075444747
development,424__M_Left_little_finger.BMP,424,20261174,27.401363411044105,0.8357121815637946,0.0018191296768536327
development,424__M_Left_middle_finger.BMP,424,20261175,27.33433390698997,0.857370330765605,0.00184742411923931
development,424__M_Left_ring_finger.BMP,424,20261176,27.47424047270347,0.8357785314948559,0.0017888583509376465
development,424__M_Left_thumb_finger.BMP,424,20261177,27.188600361672783,0.87748993679744,0.0019104688626597399
development,424__M_Right_index_finger.BMP,424,20261178,27.174379366690623,0.8955533714926243,0.001916734956282951
development,424__M_Right_little_finger.BMP,424,20261179,27.337320892699953,0.8497580680266619,0.0018461539368058535
development,424__M_Right_middle_finger.BMP,424,20261180,27.02658269471865,0.9094320907896459,0.0019830868309300355
development,424__M_Right_ring_finger.BMP,424,20261181,27.345673241984777,0.8621827862345576,0.0018426068264797268
development,424__M_Right_thumb_finger.BMP,424,20261182,27.316341867708683,0.8624623335795403,0.0018550935406428924
development,578__M_Left_index_finger.BMP,578,20261183,27.35761851769128,0.8417353274142743,0.0018375456973775935
development,578__M_Left_little_finger.BMP,578,20261184,27.558573061930566,0.7953207645407915,0.0017544568596249083
development,578__M_Left_middle_finger.BMP,578,20261185,27.135093966852146,0.8753023115475178,0.0019341520095630068
development,578__M_Left_ring_finger.BMP,578,20261186,27.372005875968817,0.8389899275420905,0.0018314683266980089
development,578__M_Left_thumb_finger.BMP,578,20261187,27.18213462021239,0.8910164943242669,0.0019133152717297223
development,578__M_Right_index_finger.BMP,578,20261188,27.16547226735446,0.8923490277692974,0.0019206700898596212
development,578__M_Right_little_finger.BMP,578,20261189,27.595665637936797,0.7815756484834254,0.0017395360610022487
development,578__M_Right_middle_finger.BMP,578,20261190,27.115185164320064,0.891818957228303,0.0019430388473181024
development,578__M_Right_ring_finger.BMP,578,20261191,27.366850939283097,0.8158883026091457,0.0018336435117443657
development,578__M_Right_thumb_finger.BMP,578,20261192,27.310784562766415,0.8849033564694225,0.0018574688688442846
development,222__M_Left_index_finger.BMP,222,20261193,27.28776757742927,0.8967317074397803,0.001867339320620187
