Image,Quality band,Severity,Family,Technique ID,Technique,Metric domain,Role hint,Is image-processing technique,Notes,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs degraded (dB),Delta PSNR vs common preprocessing (dB),PSNR delta to 28.17 dB,Binary foreground/ridge ratio,Connected components,Small components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Structural coherence,Reference ROI IoU proxy
422__M_Left_index_finger.BMP,Higher quality,0.55,Restoration/Deblurring,R4,Tikhonov regularised inverse restoration,grayscale,M1 candidate,True,uses known synthetic Gaussian PSF formula; lambda=0.025,0.029661324082482045,15.278094659549597,0.5844430413734653,0.5869342088699341,0.007660799950826913,0.023494437124552903,0.023494437124552903,-12.891905340450405,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Restoration/Deblurring,R5,Edge-preserving restoration,grayscale,M1 candidate,True,TV followed by bilateral filter,0.032037103749634734,14.943467523382912,0.5880778553991404,0.704109787940979,0.1213770000031218,-0.3111326990421315,-0.3111326990421315,-13.22653247661709,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Contrast Enhancement,C1,Global histogram equalisation,grayscale,M1 baseline candidate,True,global equalize_hist,0.018691522860737712,17.283553137590836,0.6766358266605874,0.5854191780090332,0.0035097000072710216,2.0289529151657923,2.0289529151657923,-10.886446862409166,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Contrast Enhancement,C2,Adaptive histogram equalisation,grayscale,M1 baseline candidate,True,AHE-like un-clipped adaptive histogram equalisation,0.06717131105854234,11.728161750013866,0.6114223330433387,0.5799587965011597,0.005265100044198334,-3.5264384724111775,-3.5264384724111775,-16.441838249986134,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Contrast Enhancement,C3,CLAHE,grayscale,M1 baseline candidate,True,clip_limit=0.025,0.06633645722852251,11.782477261717982,0.612028791783821,0.5800607800483704,0.006298199994489551,-3.472122960707061,-3.472122960707061,-16.38752273828202,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Contrast Enhancement,C4,Contrast stretching,grayscale,M1 candidate,True,2nd to 98th percentile,0.02150923791163374,16.673749767178553,0.6499874022519267,0.581478476524353,0.0014501999830827117,1.419149544753509,1.419149544753509,-11.496250232821449,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Contrast Enhancement,C5,Gamma correction,grayscale,M1 candidate,True,gamma=0.85,0.03363247869659492,14.73241124223148,0.5570341316225602,0.5727008581161499,0.0010608999873511493,-0.5221889801935635,-0.5221889801935635,-13.437588757768522,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Contrast Enhancement,C6,Homomorphic filtering,grayscale,M1 candidate,True,log-domain high-frequency gain=0.70,0.04109100197494646,13.862532686460193,0.4792051606538531,0.5755906105041504,0.00953399995341897,-1.3920675359648502,-1.3920675359648502,-14.307467313539808,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Fingerprint Ridge Enhancement,G1,Ordinary Gabor filter,grayscale,M2 baseline,True,"fixed frequency=0.115, 8 orientations",0.047499024896897404,13.233153058749972,0.47489482180365733,0.590533435344696,1.0112581999856047,-2.021447163675072,-2.021447163675072,-14.93684694125003,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Fingerprint Ridge Enhancement,G2,Literature-inspired Modified Gabor,grayscale,M2 literature technique,True,local orientation + local ridge frequency; exact article parameters unavailable,0.029643214877388392,15.28074697865576,0.5872013281776435,0.5954290628433228,2.1259665000252426,0.02614675623071605,0.02614675623071605,-12.889253021344242,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Fingerprint Ridge Enhancement,G3,Adaptive local-orientation Gabor,grayscale,M2 candidate,True,"local orientation, fixed frequency",0.02924949630155408,15.338816083968144,0.5950927721746535,0.6017112731933594,0.468606699956581,0.08421586154310035,0.08421586154310035,-12.831183916031858,,,,,,,,,,,
422__M_Left_index_finger.BMP,Higher quality,0.55,Fingerprint Ridge Enhancement,G4,Adaptive orientation-frequency Gabor,grayscale,M2 candidate,True,local orientation + local frequency,0.02971976008880671,15.269547007165745,0.5889287350422984,0.5987547039985657,2.546350100019481,0.014946784740700991,0.014946784740700991,-12.900452992834257,,,,,,,,,,,
