Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
100__M_Right_middle_finger.BMP,0.55,Hybrid,0.03966041732958485,14.016427202118493,0.6387706597690016,0.6959279179573059,4.0,0.47856529999990016,131,52
100__M_Right_ring_finger.BMP,0.75,Degraded input,0.0444522475178492,13.52106276090305,0.3550941612588185,0.4300806522369385,3.0,0.0,153,56
100__M_Right_ring_finger.BMP,0.75,Global HE,0.031774609821183165,14.979197736944108,0.5219387564135222,0.5734508633613586,6.0,0.0062721000003875815,153,56
100__M_Right_ring_finger.BMP,0.75,M1 CLAHE,0.07393008166711164,11.311788140573677,0.4566582811114452,0.4344850182533264,1.0,0.0058845000003202586,153,56
100__M_Right_ring_finger.BMP,0.75,M1 Median + CLAHE,0.05826271429550446,12.34609286682247,0.5514266733649618,0.5490242838859558,2.0,0.0087586999998166,153,56
100__M_Right_ring_finger.BMP,0.75,M1 Wiener + CLAHE,0.047353634705263936,13.246466804018587,0.5601741852721013,0.6368811130523682,1.3333333333333333,0.009442799999305862,153,56
100__M_Right_ring_finger.BMP,0.75,M1 CLAHE + Unsharp,0.08912959338921893,10.499780747312602,0.38525509895265475,0.3632851243019104,0.3333333333333333,0.007364299999608193,153,56
100__M_Right_ring_finger.BMP,0.75,M1 Wiener + CLAHE + Unsharp,0.04563417312384346,13.407098143352282,0.5631148768980407,0.6187236905097961,0.3333333333333333,0.010793899999953283,153,56
100__M_Right_ring_finger.BMP,0.75,Gabor,0.08035624575861758,10.949803616749422,0.3645979081521394,0.45710569620132446,1.3333333333333333,0.4801591000004919,153,56
100__M_Right_ring_finger.BMP,0.75,Hybrid,0.047573398357846255,13.22635824082629,0.5242371505009416,0.6194145083427429,1.6666666666666667,0.4729910000005475,153,56
100__M_Right_thumb_finger.BMP,0.35,Degraded input,0.014676160546734462,18.333875460180593,0.7454772353886063,0.6178157329559326,20.333333333333332,0.0,202,49
100__M_Right_thumb_finger.BMP,0.35,Global HE,0.02923438759245016,15.341059994153854,0.7617676074136496,0.6374923586845398,16.0,0.005897799999729614,202,49
100__M_Right_thumb_finger.BMP,0.35,M1 CLAHE,0.0619317861131428,12.080863947539314,0.684792790554036,0.6068854928016663,9.333333333333334,0.005719300000237126,202,49
100__M_Right_thumb_finger.BMP,0.35,M1 Median + CLAHE,0.04749205693216111,13.233790202486462,0.7109642685197769,0.6255695819854736,7.0,0.008420199999818578,202,49
100__M_Right_thumb_finger.BMP,0.35,M1 Wiener + CLAHE,0.03996259678010344,13.983462989588794,0.7217867850068249,0.6425838470458984,7.333333333333333,0.00878759999977774,202,49
100__M_Right_thumb_finger.BMP,0.35,M1 CLAHE + Unsharp,0.06385221755846718,11.94824015288869,0.665091698296963,0.5846037864685059,6.0,0.0072481000006519025,202,49
