severity,filename,relative_path,selection_seed,runtime_seconds,coherence_before,coherence_after,delta_coherence,contrast_before,contrast_after,delta_contrast,fragmentation_before,fragmentation_after,delta_fragmentation,continuity_before,continuity_after,delta_continuity,ridge_coverage_before,ridge_coverage_after,delta_ridge_coverage
Medium,475__M_Right_middle_finger_CR.BMP,data\SOCOFing\Altered\Altered-Medium\475__M_Right_middle_finger_CR.BMP,20261904,0.13888139999994564,0.7599758505821228,0.8042813539505005,0.044305503368377686,0.23588936030864716,0.23078325390815735,-0.005106106400489807,2.3887621220764403,2.2513669013329523,-0.1373952207434881,28.85279187817259,30.785714285714285,1.932922407541696,0.427978515625,0.4269866943359375,-0.0009918212890625
Medium,363__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Medium\363__M_Left_little_finger_Obl.BMP,20261904,0.12436129999991863,0.6733899712562561,0.704576313495636,0.031186342239379883,0.27054092288017273,0.2672736942768097,-0.003267228603363037,2.398369109005876,2.2452088846123006,-0.15316022439357546,26.32323232323232,27.53723404255319,1.2140017193208692,0.3817291259765625,0.380584716796875,-0.0011444091796875
Medium,5__M_Right_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Medium\5__M_Right_thumb_finger_CR.BMP,20261904,0.198738800000001,0.6455369591712952,0.694028377532959,0.04849141836166382,0.2075553685426712,0.2020556777715683,-0.005499690771102905,7.558505741557246,7.167235494880545,-0.39127024667670085,11.581818181818182,12.256493506493506,0.6746753246753237,0.32040176353700944,0.31867124500862326,-0.0017305185283861824
Medium,178__M_Right_little_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Medium\178__M_Right_little_finger_Zcut.BMP,20261904,0.1517264999999952,0.6582722067832947,0.7205495834350586,0.062277376651763916,0.15385378897190094,0.14691433310508728,-0.00693945586681366,2.577565632458234,2.482597478459816,-0.09496815399841818,23.555555555555557,28.21951219512195,4.663956639566393,0.319671630859375,0.3134613037109375,-0.0062103271484375
Medium,240__F_Left_ring_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Medium\240__F_Left_ring_finger_Obl.BMP,20261904,0.21254960000010215,0.6610714197158813,0.7258745431900024,0.0648031234741211,0.17765691876411438,0.17173893749713898,-0.005917981266975403,3.42703453062641,3.4084950183534346,-0.018539512272975234,18.326848249027236,19.878923766816143,1.5520755177889072,0.35174560546875,0.34918212890625,-0.0025634765625
Medium,25__F_Right_thumb_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Medium\25__F_Right_thumb_finger_Obl.BMP,20261904,0.19143979999989824,0.664997935295105,0.711858868598938,0.04686093330383301,0.21008002758026123,0.20708687603473663,-0.002993151545524597,3.1253805252262854,3.028263795423957,-0.09711672980232855,19.697580645161292,20.07894736842105,0.3813667232597595,0.38231871013795565,0.3760299862404909,-0.006288723897464765
Medium,535__M_Right_index_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Medium\535__M_Right_index_finger_Obl.BMP,20261904,0.22457509999981085,0.6106435656547546,0.6755345463752747,0.06489098072052002,0.18426935374736786,0.18130619823932648,-0.002963155508041382,0.6385696040868455,0.5558643690939411,-0.08270523499290439,37.92857142857143,51.32142857142857,13.392857142857139,0.5017443930224279,0.4967600603806929,-0.004984332641734979
Medium,178__M_Right_ring_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Medium\178__M_Right_ring_finger_Zcut.BMP,20261904,0.1613386999999875,0.6323770880699158,0.6851849555969238,0.05280786752700806,0.15729427337646484,0.15167216956615448,-0.005622103810310364,0.7346039260498715,0.6983240223463687,-0.03627990370350276,39.68702290076336,46.04587155963303,6.358848658869668,0.3738861083984375,0.3714599609375,-0.0024261474609375
Medium,21__M_Right_middle_finger_CR.BMP,data\SOCOFing\Altered\Altered-Medium\21__M_Right_middle_finger_CR.BMP,20261904,0.14433299999996052,0.7441022992134094,0.7979652285575867,0.053862929344177246,0.20747457444667816,0.2021205723285675,-0.005354002118110657,0.6256299746272288,0.6254777955382584,-0.00015217908897036114,55.43564356435643,62.14772727272727,6.712083708370841,0.4390106201171875,0.439117431640625,0.0001068115234375
Medium,469__M_Right_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Medium\469__M_Right_thumb_finger_CR.BMP,20261904,0.14014960000008614,0.6952879428863525,0.7542116045951843,0.05892366170883179,0.1856953203678131,0.17652566730976105,-0.009169653058052063,1.2943388085919443,1.170563410652127,-0.12377539793981729,35.7029702970297,39.58659217877095,3.8836218817412487,0.4951324462890625,0.4953460693359375,0.000213623046875
Medium,329__M_Left_thumb_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Medium\329__M_Left_thumb_finger_Obl.BMP,20261904,0.16969060000019454,0.7177209854125977,0.7784960269927979,0.060775041580200195,0.1999139040708542,0.1931130290031433,-0.0068008750677108765,5.4473648372599754,4.987991871420654,-0.4593729658393215,17.595667870036102,19.46530612244898,1.8696382524128765,0.3361358642578125,0.33038330078125,-0.0057525634765625
Medium,145__M_Right_ring_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Medium\145__M_Right_ring_finger_Zcut.BMP,20261904,0.16354760000012902,0.6926171183586121,0.749056875705719,0.056439757347106934,0.20390178263187408,0.19876283407211304,-0.005138948559761047,2.706359945872801,2.1985050165887197,-0.5078549292840813,20.304832713754646,22.661087866108787,2.356255152354141,0.383392333984375,0.3817291259765625,-0.0016632080078125
Medium,84__M_Left_ring_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Medium\84__M_Left_ring_finger_Zcut.BMP,20261904,0.22527609999997367,0.6774120330810547,0.7405705451965332,0.06315851211547852,0.1882583349943161,0.1814301759004593,-0.0068281590938568115,6.411219634360131,6.270064205457464,-0.14115542890266664,13.75,14.340836012861736,0.590836012861736,0.3046417236328125,0.30419921875,-0.0004425048828125
Medium,442__F_Left_thumb_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Medium\442__F_Left_thumb_finger_Zcut.BMP,20261904,0.1733053000000382,0.6622905731201172,0.7641769647598267,0.10188639163970947,0.1359115093946457,0.12313711643218994,-0.01277439296245575,1.841389412010881,2.843276631207412,1.0018872191965311,24.068273092369477,25.036082474226806,0.9678093818573288,0.3646087646484375,0.3112640380859375,-0.0533447265625
Medium,370__M_Right_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Medium\370__M_Right_little_finger_Obl.BMP,20261904,0.1327301000001171,0.5718061327934265,0.6242649555206299,0.05245882272720337,0.15176501870155334,0.1462991088628769,-0.005465909838676453,3.8984354962810976,3.77612249120629,-0.1223130050748078,18.376190476190477,19.77127659574468,1.395086119554204,0.2974700927734375,0.29498291015625,-0.0024871826171875
Medium,540__F_Left_little_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Medium\540__F_Left_little_finger_Zcut.BMP,20261904,0.1635620999998082,0.5350029468536377,0.5917189121246338,0.056715965270996094,0.14021551609039307,0.13267499208450317,-0.007540524005889893,4.797500836773402,4.973718419714011,0.17621758294060896,16.480314960629922,17.412017167381975,0.9317022067520533,0.273529052734375,0.2699737548828125,-0.0035552978515625
Medium,593__M_Left_ring_finger_CR.BMP,data\SOCOFing\Altered\Altered-Medium\593__M_Left_ring_finger_CR.BMP,20261904,0.16619029999992563,0.6577345132827759,0.706984281539917,0.04924976825714111,0.19448219239711761,0.19066578149795532,-0.0038164108991622925,2.3295043778616757,2.2442191319681,-0.08528524589357556,28.66857142857143,29.820359281437124,1.151787852865695,0.379913330078125,0.3807525634765625,0.0008392333984375
Medium,390__F_Right_ring_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Medium\390__F_Right_ring_finger_Zcut.BMP,20261904,0.13236320000009982,0.64225172996521,0.7119490504264832,0.0696973204612732,0.17461907863616943,0.1668856143951416,-0.007733464241027832,2.165714499085172,1.9939054211654943,-0.17180907791967792,28.02358490566038,31.747252747252748,3.72366784159237,0.4086456298828125,0.4055938720703125,-0.0030517578125
