filename,index,noise_seed,degraded_psnr,enhanced_psnr,delta_psnr,degraded_mse,enhanced_mse,delta_mse,degraded_ssim,enhanced_ssim,delta_ssim,above_28_17,runtime_seconds,outlier_group,retained
100__M_Right_thumb_finger.BMP,9,20260912,27.161751816638727,28.519912983645614,1.3581611670068874,0.001922316166506854,0.001406075696340351,-0.000516240470166503,0.892115608337462,0.9526561815886497,0.06054057325118778,True,0.08235490000015488,smallest_10_delta_psnr,True
115__F_Right_thumb_finger.BMP,169,20261072,27.03774138478356,28.42830438520252,1.390563000418961,0.001977998060964654,0.0014360500005375254,-0.0005419480604271284,0.8935299827292561,0.9503650803455115,0.05683509761625538,True,0.08250459999999293,smallest_10_delta_psnr,True
100__M_Left_thumb_finger.BMP,4,20260907,27.025428446442916,28.417826467787087,1.392398021344171,0.001983613956844418,0.0014395188401700582,-0.0005440951166743597,0.9183081810625792,0.9495651641521454,0.03125698308956626,True,0.08789019999994707,smallest_10_delta_psnr,True
124__M_Right_thumb_finger.BMP,269,20261172,27.042032917412783,28.465361613668332,1.423328696255549,0.001976044444034917,0.0014238486854846037,-0.0005521957585503134,0.9141064023610354,0.9510500344693661,0.03694363210833074,True,0.08137410000017553,smallest_10_delta_psnr,True
105__M_Left_thumb_finger.BMP,54,20260957,27.260543348794904,28.702014357966803,1.4414710091718987,0.0018790817088992838,0.0013483373475760717,-0.0005307443613232121,0.8766202702115774,0.9372556384615898,0.06063536825001237,True,0.08268920000000435,smallest_10_delta_psnr,True
115__F_Right_middle_finger.BMP,167,20261070,27.08820449927793,28.530511076989157,1.4423065777112285,0.001955147604051662,0.0014026486314028524,-0.0005524989726488096,0.8641413964313864,0.9255861660648584,0.06144476963347201,True,0.08213700000032986,smallest_10_delta_psnr,True
112__M_Right_little_finger.BMP,136,20261039,27.270010458712967,28.726295870815143,1.4562854121021758,0.0018749899926967261,0.0013408197948175339,-0.0005341701978791922,0.8502818296902179,0.9296694060001374,0.07938757630991944,True,0.081566699999712,smallest_10_delta_psnr,True
134__M_Left_little_finger.BMP,371,20261274,27.288013212539465,31.409271117194038,4.121257904654573,0.0018672337076898694,0.000722891117299434,-0.0011443425903904353,0.724975106641531,0.9187328848748207,0.19375777823328977,True,0.08088319999978921,largest_10_delta_psnr,True
130__F_Right_ring_finger.BMP,338,20261241,27.324155633517524,31.274822798143358,3.950667164625834,0.0018517588829256872,0.000745620294381864,-0.001106138588543823,0.7962622161409557,0.9532624494313001,0.1570002332903444,True,0.08051590000013675,largest_10_delta_psnr,True
118__F_Right_ring_finger.BMP,198,20261101,27.399869618469506,31.337361871908488,3.9374922534389825,0.0018197554895008393,0.000734960185209514,-0.0010847953042913254,0.7459698609837592,0.9406138746395111,0.1946440136557519,True,0.08385180000004766,largest_10_delta_psnr,True
137__M_Right_ring_finger.BMP,408,20261311,27.46553438355202,31.349330219864783,3.883795836312764,0.0017924479845956348,0.0007329375599412078,-0.0010595104246544271,0.7436814484277368,0.9368483852701187,0.19316693684238195,True,0.08194670000011683,largest_10_delta_psnr,True
