Controlled index,Image,Path,Severity,Seed,Protocol source,Experiment,Pipeline ID,Pipeline,Is finalist,Final output used for PSNR/MSE/SSIM,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s)
17,493__M_Left_little_finger.BMP,data\SOCOFing\Real\493__M_Left_little_finger.BMP,0.75,59,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.044177192527388644,13.54801887120194,0.31363286437437116,0.28244054317474365,8.85000335983932e-05
17,493__M_Left_little_finger.BMP,data\SOCOFing\Real\493__M_Left_little_finger.BMP,0.75,59,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.11471342989762108,9.403857347665719,0.260010210819282,0.2772744297981262,0.004703700018581003
17,493__M_Left_little_finger.BMP,data\SOCOFing\Real\493__M_Left_little_finger.BMP,0.75,59,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.05502198819863594,12.594637205967194,0.43835738391497303,0.4762699604034424,0.014788899978157133
17,493__M_Left_little_finger.BMP,data\SOCOFing\Real\493__M_Left_little_finger.BMP,0.75,59,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.09642630258490449,10.158044857093639,0.33179567443888486,0.3532647490501404,0.011059899989049882
18,543__M_Right_middle_finger.BMP,data\SOCOFing\Real\543__M_Right_middle_finger.BMP,0.35,60,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.013593711746510157,18.666619434933,0.622298704735867,0.4842648506164551,7.43999844416976e-05
18,543__M_Right_middle_finger.BMP,data\SOCOFing\Real\543__M_Right_middle_finger.BMP,0.35,60,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.08680714376600256,10.614445332279796,0.41202672543959523,0.4480723738670349,0.005226299981586635
18,543__M_Right_middle_finger.BMP,data\SOCOFing\Real\543__M_Right_middle_finger.BMP,0.35,60,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.030334283126492945,15.180662640424021,0.6970474379376879,0.6290449500083923,0.010989400034304708
18,543__M_Right_middle_finger.BMP,data\SOCOFing\Real\543__M_Right_middle_finger.BMP,0.35,60,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.07648315418913607,11.164342099227273,0.4679787927239977,0.5136811137199402,0.01033270003972575
19,471__M_Left_little_finger.BMP,data\SOCOFing\Real\471__M_Left_little_finger.BMP,0.55,61,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.030785269586528136,15.116570389401645,0.45705769311734173,0.48607102036476135,9.240000508725643e-05
19,471__M_Left_little_finger.BMP,data\SOCOFing\Real\471__M_Left_little_finger.BMP,0.55,61,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.11333963149903256,9.456182037132002,0.3870903856514909,0.4733303189277649,0.004746199992951006
