Combination ID,Image,Quality band,Severity,Stage order,Stage,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs previous stage (dB),Delta SSIM vs previous stage,Delta coherence vs previous stage
R1->G7,457__M_Right_index_finger.BMP,Medium quality,0.35,2,M1 Wiener deconvolution,0.012331748820074047,19.08975329807252,0.7135447036434547,0.6136176586151123,0.001956899999640882,0.31234407595020386,0.023719084669604373,0.012414395809173584
R1->G7,457__M_Right_index_finger.BMP,Medium quality,0.35,3,M2 Coherence-guided directional diffusion,0.013938587612987403,18.5578123075466,0.6985065614366126,0.6336954832077026,0.3308728999691084,-0.5319409905259178,-0.015038142206842076,0.020077824592590332
R1->G7,457__M_Right_index_finger.BMP,Medium quality,0.35,4,Team Final Output,0.013938587612987403,18.5578123075466,0.6985065614366126,0.6336954832077026,0.3328297999687493,0.0,0.0,0.0
R1->G7,195__M_Right_index_finger.BMP,Medium quality,0.55,0,Degraded,0.02774234539963244,15.568568254884044,0.5394321414318124,0.5299065709114075,0.0,,,
R1->G7,195__M_Right_index_finger.BMP,Medium quality,0.55,1,Common Preprocessing P0,0.02774234539963244,15.568568254884044,0.5394321414318124,0.5299065709114075,0.0,0.0,0.0,0.0
R1->G7,195__M_Right_index_finger.BMP,Medium quality,0.55,2,M1 Wiener deconvolution,0.025919556086176385,15.8637244072486,0.5715112625076556,0.5579662919044495,0.003502100007608533,0.29515615236455695,0.03207912107584321,0.028059720993041992
R1->G7,195__M_Right_index_finger.BMP,Medium quality,0.55,3,M2 Coherence-guided directional diffusion,0.026818400631820966,15.715671257195465,0.5616367572749265,0.5882704257965088,0.3488863999955356,-0.14805315005313524,-0.009874505232729147,0.030304133892059326
R1->G7,195__M_Right_index_finger.BMP,Medium quality,0.55,4,Team Final Output,0.026818400631820966,15.715671257195465,0.5616367572749265,0.5882704257965088,0.35238850000314415,0.0,0.0,0.0
R1->G7,183__M_Left_ring_finger.BMP,Medium quality,0.75,0,Degraded,0.05116287396425381,12.910450679510072,0.32278156574308914,0.3605555295944214,0.0,,,
R1->G7,183__M_Left_ring_finger.BMP,Medium quality,0.75,1,Common Preprocessing P0,0.05116287396425381,12.910450679510072,0.32278156574308914,0.3605555295944214,0.0,0.0,0.0,0.0
R1->G7,183__M_Left_ring_finger.BMP,Medium quality,0.75,2,M1 Wiener deconvolution,0.04834439556222803,13.156538652722992,0.36939152119235164,0.41808342933654785,0.0020756000303663313,0.2460879732129193,0.0466099554492625,0.057527899742126465
R1->G7,183__M_Left_ring_finger.BMP,Medium quality,0.75,3,M2 Coherence-guided directional diffusion,0.04855290863693361,13.13784747895374,0.36436190339000724,0.45197856426239014,0.32922359998337924,-0.01869117376925189,-0.005029617802344399,0.033895134925842285
R1->G7,183__M_Left_ring_finger.BMP,Medium quality,0.75,4,Team Final Output,0.04855290863693361,13.13784747895374,0.36436190339000724,0.45197856426239014,0.3312992000137456,0.0,0.0,0.0
R1->G7,494__F_Left_thumb_finger.BMP,Medium quality,0.35,0,Degraded,0.013553076706866908,18.679621036724463,0.7133231194557166,0.6164482831954956,0.0,,,
R1->G7,494__F_Left_thumb_finger.BMP,Medium quality,0.35,1,Common Preprocessing P0,0.013553076706866908,18.679621036724463,0.7133231194557166,0.6164482831954956,0.0,0.0,0.0,0.0
R1->G7,494__F_Left_thumb_finger.BMP,Medium quality,0.35,2,M1 Wiener deconvolution,0.012522172401783167,19.023203212642322,0.7363436773337899,0.628631591796875,0.002042899955995381,0.34358217591785944,0.023020557878073333,0.012183308601379395
R1->G7,494__F_Left_thumb_finger.BMP,Medium quality,0.35,3,M2 Coherence-guided directional diffusion,0.01348183382483278,18.702510302162842,0.7285806957090297,0.657625138759613,0.32498700002906844,-0.32069291047947956,-0.00776298162476019,0.028993546962738037
R1->G7,494__F_Left_thumb_finger.BMP,Medium quality,0.35,4,Team Final Output,0.01348183382483278,18.702510302162842,0.7285806957090297,0.657625138759613,0.3270298999850638,0.0,0.0,0.0
