filename,index,noise_seed,degraded_psnr,enhanced_psnr,delta_psnr,degraded_mse,enhanced_mse,delta_mse,degraded_ssim,enhanced_ssim,delta_ssim,above_28_17,runtime_seconds
133__M_Right_thumb_finger.BMP,369,20261272,27.136037310240503,29.439171964381895,2.3031346541413917,0.0019337319325321684,0.0011378442090769559,-0.0007958877234552125,0.9188794189521671,0.9463912040168047,0.027511785064637584,True,0.08173630000010235
134__M_Left_index_finger.BMP,370,20261273,27.220584300097315,30.400197985859027,3.179613685761712,0.0018964507554302885,0.0009119692636184178,-0.0009844814918118707,0.8280033328912855,0.943201742456913,0.11519840956562755,True,0.08109150000018417
134__M_Left_little_finger.BMP,371,20261274,27.288013212539465,31.409271117194038,4.121257904654573,0.0018672337076898694,0.000722891117299434,-0.0011443425903904353,0.724975106641531,0.9187328848748207,0.19375777823328977,True,0.08088319999978921
134__M_Left_middle_finger.BMP,372,20261275,27.02187936055166,30.048536505874054,3.0266571453223925,0.001985235643041516,0.0009888862753667624,-0.0009963493676747536,0.8618359867835342,0.9416197185707093,0.07978373178717502,True,0.08036699999956909
134__M_Left_ring_finger.BMP,373,20261276,27.167538688270735,30.01135530752718,2.843816619256444,0.0019197564312855788,0.0009973887590524306,-0.0009223676722331482,0.8579178668646812,0.9457186506021023,0.08780078373742106,True,0.08270290000018576
134__M_Left_thumb_finger.BMP,374,20261277,27.147992240086253,29.782606480421183,2.6346142403349297,0.0019284162213037853,0.0010513307132844407,-0.0008770855080193446,0.8573898990455866,0.9433516556272507,0.08596175658166405,True,0.0811386999998831
134__M_Right_index_finger.BMP,375,20261278,28.201510127606923,30.901498189414557,2.699988061807634,0.0015130350448161022,0.0008125501616807366,-0.0007004848831353656,0.7216785692762733,0.888871205496788,0.16719263622051472,True,0.0815773999997873
134__M_Right_little_finger.BMP,376,20261279,27.456834970330085,30.507796646483392,3.0509616761533067,0.0017960420605749772,0.0008896523604071996,-0.0009063897001677776,0.7972750182448626,0.9544128434023857,0.15713782515752317,True,0.08279279999987921
134__M_Right_middle_finger.BMP,377,20261280,27.616371071553377,29.62028720301186,2.0039161314584817,0.0017312623833873615,0.0010913681608627618,-0.0006398942225245997,0.8242774493598938,0.853821099051714,0.029543649691820217,True,0.08219809999991412
134__M_Right_ring_finger.BMP,378,20261281,27.905575055582172,30.421875981912404,2.5163009263302314,0.001619729508985312,0.0009074284719799467,-0.0007123010370053654,0.7720438415455818,0.9065865356494188,0.134542694103837,True,0.08072179999999207
134__M_Right_thumb_finger.BMP,379,20261282,27.3789159565191,29.90731629610456,2.5284003395854597,0.0018285565856238704,0.001021570563795609,-0.0008069860218282614,0.8619234365887641,0.9348181196331978,0.0728946830444337,True,0.08176759999969363
135__F_Left_index_finger.BMP,380,20261283,27.416834206976624,29.768261515497997,2.351427308521373,0.0018126609517593152,0.0010548090528511346,-0.0007578518989081807,0.850614280223012,0.9480736318945885,0.09745935167157649,True,0.0817522999996072
135__F_Left_little_finger.BMP,381,20261284,27.86453498417458,30.247180579888628,2.382645595714049,0.0016351082190904913,0.000944673955314571,-0.0006904342637759203,0.76439720535779,0.9510878719869852,0.1866906666291952,True,0.08052189999989423
135__F_Left_middle_finger.BMP,382,20261285,27.246672612992192,29.34778049828905,2.1011078852968588,0.00188509281750918,0.001162042334488179,-0.0007230504830210011,0.8504900430249572,0.9554014689555168,0.10491142593055958,True,0.08018149999998059
135__F_Left_ring_finger.BMP,383,20261286,27.45772897226076,29.808983589308408,2.3512546170476476,0.001795672380580492,0.0010449647512405288,-0.0007507076293399632,0.8211362973735928,0.9604891184026003,0.13935282102900748,True,0.08098160000008647
135__F_Left_thumb_finger.BMP,384,20261287,27.383547661735665,29.6878935554033,2.3043458936676338,0.001826607488684907,0.0010745104523303321,-0.0007520970363545749,0.8419244280868172,0.9582725305421352,0.11634810245531801,True,0.08153719999972964
135__F_Right_index_finger.BMP,385,20261288,27.699997053561102,30.055160161926278,2.3551631083651756,0.0016982448046230227,0.0009873792218662455,-0.0007108655827567773,0.8092184452105462,0.9346204562036992,0.12540201099315296,True,0.08473079999976108
135__F_Right_little_finger.BMP,386,20261289,27.597626802623786,30.234142143052782,2.6365153404289963,0.0017387507075899773,0.0009475143274472702,-0.0007912363801427071,0.7952243974248171,0.9545107071353197,0.15928630971050262,True,0.08271469999999681
135__F_Right_middle_finger.BMP,387,20261290,27.440612113201297,29.74251203230576,2.3018999191044642,0.001802763633742313,0.001061081632206439,-0.0007416820015358739,0.8637104194374681,0.9493978949294091,0.085687475491941,True,0.08062950000021374
135__F_Right_ring_finger.BMP,388,20261291,27.607672942513013,30.386907798676507,2.7792348561634945,0.0017347332618528179,0.0009147643270394422,-0.0008199689348133757,0.8039865915438235,0.9554798864473104,0.15149329490348695,True,0.0841946000000462
