Experiment,Protocol,Category,Image,Relative path,Seed,Candidate ID,Pipeline,Stage order,Stage,Stage parameters,Runtime (s),MSE,MSE_255_equivalent,PSNR (dB),SSIM,Delta PSNR vs previous stage (dB),Delta MSE vs previous stage,Delta SSIM vs previous stage,Altered split,Ridge coherence,Local contrast,Foreground/background separation proxy,Ridge coverage in foreground,Fragmentation per 1000 ridge pixels,Small connected components <20px,Ridge continuity proxy,Delta Ridge coherence vs previous stage,Delta Local contrast vs previous stage,Delta Fragmentation per 1000 ridge pixels vs previous stage,Delta Ridge continuity proxy vs previous stage
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C0_NLM,NLM,1,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09521659999154508,0.001201447204613965,78.12410448002306,29.20295308712431,0.9504642894906997,1.8882581352284582,-0.0006543499512887637,0.11752085698425763,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C1_TV_NLM,TV -> NLM,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018557971559027286,120.67321006257492,27.314694951895852,0.8329434325064421,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C1_TV_NLM,TV -> NLM,1,TV,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",0.0054981999564915895,0.0012006194692185624,78.07028098593702,29.205946184134017,0.9429074383463859,1.8912512322381652,-0.0006551776866841662,0.10996400583994381,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C1_TV_NLM,TV -> NLM,2,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09473660006187856,0.001151911547324313,74.90304836476346,29.385808681209703,0.9459552329577208,0.17986249707568547,-4.8707921894249355e-05,0.003047794611334864,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018557971559027286,120.67321006257492,27.314694951895852,0.8329434325064421,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,1,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.09228219999931753,0.001201447204613965,78.12410448002306,29.20295308712431,0.9504642894906997,1.8882581352284582,-0.0006543499512887637,0.11752085698425763,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,2,Modified Gabor,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}",2.179178399965167,0.002508870044588721,163.13927464938158,26.005218338546637,0.9289184866461139,-3.1977347485776733,0.0013074228399747561,-0.02154580284458585,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018557971559027286,120.67321006257492,27.314694951895852,0.8329434325064421,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,1,NLM,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",0.12043609993997961,0.001201447204613965,78.12410448002306,29.20295308712431,0.9504642894906997,1.8882581352284582,-0.0006543499512887637,0.11752085698425763,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,2,Directional Diffusion,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",0.37125209998339415,0.0012469343864880025,81.08190848138237,29.041563984347714,0.9466662469103336,-0.1613891027765959,4.548718187403762e-05,-0.00379804258036609,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,0,P0 degraded input,"{""gaussian_noise_sigma"": 0.04825}",0.0,0.0018557971559027286,120.67321006257492,27.314694951895852,0.8329434325064421,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,1,TV,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",0.012126200017519295,0.0012006194692185624,78.07028098593702,29.205946184134017,0.9429074383463859,1.8912512322381652,-0.0006551776866841662,0.10996400583994381,,,,,,,,,,,,
