Category,Method ID,Technique,Member,Is member technique,Is baseline,Fixed parameters,Images,Coherence_mean,Coherence_std,Local_contrast_mean,Local_contrast_std,Ridge_coverage_mean,Fragmentation_mean,Fragmentation_std,Small_components_mean,Ridge_continuity_mean,Runtime_mean,Delta_coherence_vs_P0_mean,Delta_contrast_vs_P0_mean,Delta_fragmentation_vs_P0_mean,Delta_continuity_vs_P0_mean,Delta_coherence_vs_NLM_mean,Delta_contrast_vs_NLM_mean,Delta_fragmentation_vs_NLM_mean,Delta_continuity_vs_NLM_mean
Hard,BL_CONTRAST_1_99,Contrast Stretching,Baseline,False,True,"{""high_percentile"": 99.0, ""low_percentile"": 1.0}",3,0.6523401538530985,0.09883338575784471,0.19327992697556806,0.026738428245459998,0.3662618001302083,2.1703590029420283,0.1963153374225969,0.3333333333333333,29.595961633275067,0.0008966333310429668,0.0,0.0,0.0,0.0,-0.0394912958145141,0.0042888522148131665,0.005795867346569071,-0.7085242190368722
Hard,BL_ORD_GABOR,Ordinary Gabor,Baseline,False,True,"{""blend"": 0.3, ""frequency"": 0.115, ""orientations"": 8}",3,0.7199361522992452,0.04887732107212406,0.1425435418883959,0.01909278405550754,0.3161773681640625,3.2626635182654797,0.31223059379420126,0.3333333333333333,25.081493187101376,0.9800274999579415,0.0675959984461466,-0.05073638508717213,1.0923045153234516,-4.51446844617369,0.028104702631632467,-0.04644753287235894,1.0981003826700206,-5.222992665210562
Hard,BL_WIENER,Wiener Deconvolution,Baseline,False,True,"{""balance"": 0.06, ""blend"": 0.35, ""psf_sigma"": 0.98}",3,0.6745054920514425,0.08898829003673313,0.20268330474694565,0.02827622944618697,0.3703257242838542,2.1097818844876564,0.15502885796395377,0.3333333333333333,31.10513017273767,0.0022048333582157333,0.022165338198343865,0.009403377771377501,-0.060577118454371894,1.5091685394625998,-0.017325957616170232,0.013692229986190766,-0.054781251107802874,0.8006443204257275
Hard,M1_NLM_h0.06,Non-Local Means Denoising,Member 1,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",3,0.6918314496676127,0.1155309875185033,0.1889910747607549,0.02461602593988832,0.3653055826822917,2.164563135595459,0.11201391197269853,0.3333333333333333,30.304485852311938,0.09810403330872453,0.0394912958145141,-0.0042888522148131665,-0.005795867346569071,0.7085242190368722,0.0,0.0,0.0,0.0
Hard,M2_MOD_GABOR,Literature-Inspired Modified / Orientation-Adaptive Gabor,Member 2,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}",3,0.6694895227750143,0.08081638067848242,0.17765944699446357,0.026382704319004753,0.3594970703125,2.37673109525873,0.23475167001611383,0.3333333333333333,28.847615508485074,1.904595633347829,0.017149368921915667,-0.015620479981104501,0.20637209231670206,-0.7483461247899932,-0.022341926892598434,-0.011331627766291265,0.2121679596632712,-1.4568703438268653
Hard,M3_TV_w0.02,Total Variation Restoration,Member 3,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",3,0.6740622917811075,0.09730968086840232,0.18487396339575446,0.024949162920351275,0.3650156656901042,2.2455752515285794,0.2141142015197096,0.3333333333333333,29.134700986395902,0.003593099963230367,0.021722137928009002,-0.0084059635798136,0.07521624858655131,-0.4612606468791635,-0.0177691578865051,-0.0041171113650003335,0.08101211593312042,-1.1697848659160357
Hard,M4_COH_DIFF,Coherence-Guided Directional Diffusion,Member 4,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",3,0.6602314313252767,0.09409847223331494,0.17948132256666818,0.022313533530419673,0.3617960611979167,2.2403208074600776,0.366586477849488,0.6666666666666666,28.55512468018482,0.30905983329284936,0.007891277472178099,-0.0137986044088999,0.06996180451804947,-1.0408369530902408,-0.031600018342335966,-0.009509752194086634,0.07575767186461853,-1.7493611721271132
Overall,B0,Degraded input / P0,Baseline,False,True,"{""operation"": ""P0 only; clip/float range only""}",9,0.6705266634623209,0.07561157941390685,0.19205682476361588,0.02897952228167704,0.3711836073133681,2.636651461142659,0.5597757328740633,0.8888888888888888,26.638024546304514,0.00016703332463895555,0.0,0.0,0.0,0.0,-0.0474540789922078,0.004962089988920367,0.07569800484683192,-1.2220149828430473
Overall,BL_CLAHE_c0.005,CLAHE,Baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}",9,0.6847735577159457,0.06882611484617204,0.20352044204870856,0.032165381488742026,0.3718905978732639,2.5362013814823987,0.5348444558927314,1.0,27.780206194826672,0.0059974555495298,0.014246894253624777,0.011463617285092601,-0.10045007966025998,1.1421816485221588,-0.03320718473858298,0.016425707274013032,-0.02475207481342809,-0.0798333343208885
Overall,BL_CONTRAST_1_99,Contrast Stretching,Baseline,False,True,"{""high_percentile"": 99.0, ""low_percentile"": 1.0}",9,0.6705266634623209,0.07561157941390685,0.19205682476361588,0.02897952228167704,0.3711836073133681,2.636651461142659,0.5597757328740633,0.8888888888888888,26.638024546304514,0.0010091444580918668,0.0,0.0,0.0,0.0,-0.0474540789922078,0.004962089988920367,0.07569800484683192,-1.2220149828430473
Overall,BL_ORD_GABOR,Ordinary Gabor,Baseline,False,True,"{""blend"": 0.3, ""frequency"": 0.115, ""orientations"": 8}",9,0.7353264292081197,0.03652263720328897,0.14262386659781134,0.01957048166159479,0.31432382824806016,3.9944221899892898,0.9790118471986206,1.3333333333333333,22.74369529434247,0.9499714111184908,0.0647997657457987,-0.0494329581658045,1.357770728846631,-3.8943292519620423,0.01734568675359089,-0.04447086817688408,1.433468733693463,-5.11634423480509
Overall,BL_WIENER,Wiener Deconvolution,Baseline,False,True,"{""balance"": 0.06, ""blend"": 0.35, ""psf_sigma"": 0.98}",9,0.6935378114382426,0.06814046925666774,0.20168837077087823,0.03076011954428329,0.3763088650173611,2.5533493927751048,0.5736005493427943,1.1111111111111112,28.475633700674152,0.0021958444784912334,0.02301114797592158,0.009631546007262277,-0.08330206836755412,1.8376091543696411,-0.02444293101628619,0.014593635996182734,-0.007604063520722234,0.6155941715265938
Overall,M1_NLM_h0.06,Non-Local Means Denoising,Member 1,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",9,0.7179807424545288,0.07949283066628567,0.1870947347746955,0.028921153155448482,0.36934279600030384,2.560953456295827,0.5396498596820462,0.7777777777777778,27.860039529147556,0.09629665553155868,0.0474540789922078,-0.004962089988920367,-0.07569800484683192,1.2220149828430473,0.0,0.0,0.0,0.0
Overall,M2_MOD_GABOR,Literature-Inspired Modified / Orientation-Adaptive Gabor,Member 2,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}",9,0.6862944695684645,0.060005362932014125,0.17676659093962774,0.026221280413034533,0.3639272054036458,2.932040030801232,0.6473173097099811,0.8888888888888888,25.34956709567335,1.9209439111226756,0.01576780610614351,-0.015290233823988133,0.295388569658573,-1.2884574506311628,-0.031686272886064265,-0.0103281438350677,0.371086574505405,-2.5104724334742103
Overall,M3_TV_w0.02,Total Variation Restoration,Member 3,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",9,0.6926585568322076,0.07147973198909464,0.18318278921975029,0.027620236026142553,0.3692898220486111,2.7551820614170546,0.5997071545216751,1.3333333333333333,26.034094115647804,0.004122899987527844,0.022131893369886566,-0.008874035543865589,0.11853060027439616,-0.6039304306567064,-0.025322185622321188,-0.0039119455549451575,0.1942286051212281,-1.8259454134997537
Overall,M4_COH_DIFF,Coherence-Guided Directional Diffusion,Member 4,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",9,0.6779892775747511,0.07303948982164495,0.1773573259512583,0.02478827514916236,0.3648715549045139,2.744040753187461,0.5838496636017382,1.0,25.47000509942254,0.30410832219705397,0.007462614112430099,-0.014699498812357544,0.10738929204480194,-1.1680194468819733,-0.039991464879777644,-0.009737408823437111,0.18308729689163383,-2.390034429725021
