Ablation type,Image,Severity,Stage,Operation,Parameters,PSNR before (dB),PSNR after (dB),Delta PSNR (dB),MSE after,SSIM after,Ridge coherence after,Irreversible risk
Sequential current pipeline,576__M_Right_middle_finger.BMP,0.55,1.0,Optical/sensor Gaussian blur,sigma=1.3400,inf,19.918668764705377,,0.010189036629524069,0.8006651114512682,0.7163349986076355,blur removes high-frequency ridge detail
Sequential current pipeline,576__M_Right_middle_finger.BMP,0.55,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.6810; illumination_amplitude=0.0880,19.918668764705377,16.099458335416287,-3.8192104292890896,0.024550150931428108,0.6285357431204822,0.730877161026001,low contrast can bury weak ridges
Sequential current pipeline,576__M_Right_middle_finger.BMP,0.55,3.0,Gaussian sensor noise,sigma=0.0483,16.099458335416287,15.714347633553334,-0.3851107018629527,0.026826575471827173,0.5263309681447604,0.49531418085098267,noise can obscure ridge/valley boundaries
Sequential current pipeline,576__M_Right_middle_finger.BMP,0.55,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000825; salt_probability=0.000825,15.714347633553334,15.628664132188899,-0.0856835013644357,0.027361102105128175,0.5202183716254043,0.483071506023407,local clipping to 0/1 at impulse pixels
Sequential current pipeline,576__M_Right_middle_finger.BMP,0.55,5.0,Partial smudge/occlusion,"centre=(122,108); radii=(4,14); rotation=-0.7186; patch_blur_sigma=4.1000",15.628664132188899,15.621550012683855,-0.007114119505043703,0.027405958687992386,0.5191537437271285,0.48222148418426514,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,576__M_Right_middle_finger.BMP,0.55,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.000824,15.621550012683855,15.621550012683855,0.0,0.027405958687992386,0.5191537437271285,0.48222148418426514,saturation is irreversible where clipping occurs
Independent component,576__M_Right_middle_finger.BMP,0.55,,Gaussian noise only,sigma=0.0483,inf,27.034995979960847,,0.0019792488533249154,0.8944926278697848,0.6230032444000244,recoverable only statistically
Independent component,576__M_Right_middle_finger.BMP,0.55,,Salt-and-pepper noise only,salt_probability=0.000825; pepper_probability=0.000825,inf,32.27735185755446,,0.0005919224532140444,0.9890982239240408,0.6782899498939514,pixel clipping at impulses
Independent component,576__M_Right_middle_finger.BMP,0.55,,Blur only,sigma=1.3400,inf,19.918668764705377,,0.010189036629524069,0.8006651114512682,0.7163349986076355,high-frequency detail loss
Independent component,576__M_Right_middle_finger.BMP,0.55,,Contrast reduction + illumination only,contrast_scale=0.6810; illumination_amplitude=0.0880,inf,19.332764169344898,,0.011660672099315138,0.8908959091597721,0.7143072485923767,low contrast
Independent component,576__M_Right_middle_finger.BMP,0.55,,Partial smudge/occlusion only,"radii=(4,14); patch_blur_sigma=4.1000",inf,38.81920171290622,,0.00013124411197959485,0.9980485683561563,0.6913698315620422,localized overwritten ridge detail
Sequential current pipeline,533__M_Right_ring_finger.BMP,0.75,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.7659732103347778,reference only
Sequential current pipeline,533__M_Right_ring_finger.BMP,0.75,1.0,Optical/sensor Gaussian blur,sigma=1.7000,inf,19.72589529983282,,0.010651492600814315,0.7086197555993199,0.7968080639839172,blur removes high-frequency ridge detail
Sequential current pipeline,533__M_Right_ring_finger.BMP,0.75,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.5650; illumination_amplitude=0.1200,19.72589529983282,14.799827103521972,-4.926068196310849,0.033114430436809505,0.48699834816964016,0.8068123459815979,low contrast can bury weak ridges
Sequential current pipeline,533__M_Right_ring_finger.BMP,0.75,3.0,Gaussian sensor noise,sigma=0.0592,14.799827103521972,14.350473078172154,-0.44935402534981783,0.03672422945151689,0.356005737250946,0.33654916286468506,noise can obscure ridge/valley boundaries
Sequential current pipeline,533__M_Right_ring_finger.BMP,0.75,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.001125; salt_probability=0.001125,14.350473078172154,14.262576480448136,-0.08789659772401848,0.03747506130303198,0.34879111710965693,0.32271283864974976,local clipping to 0/1 at impulse pixels
Sequential current pipeline,533__M_Right_ring_finger.BMP,0.75,5.0,Partial smudge/occlusion,"centre=(145,141); radii=(6,19); rotation=0.3027; patch_blur_sigma=4.5000",14.262576480448136,14.259064434807145,-0.00351204564099028,0.037505378832330516,0.3472088247192675,0.3226686716079712,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,533__M_Right_ring_finger.BMP,0.75,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.000549,14.259064434807145,14.259064434807145,0.0,0.037505378832330516,0.3472088247192675,0.3226686716079712,saturation is irreversible where clipping occurs
Independent component,533__M_Right_ring_finger.BMP,0.75,,Gaussian noise only,sigma=0.0592,inf,25.15950562607486,,0.0030482419628541837,0.848051460091859,0.6410197019577026,recoverable only statistically
Independent component,533__M_Right_ring_finger.BMP,0.75,,Salt-and-pepper noise only,salt_probability=0.001125; pepper_probability=0.001125,inf,31.062968296509993,,0.0007828943707197666,0.9829278571851039,0.7451352477073669,pixel clipping at impulses
Independent component,533__M_Right_ring_finger.BMP,0.75,,Blur only,sigma=1.7000,inf,19.72589529983282,,0.010651492600814315,0.7086197555993199,0.7968080639839172,high-frequency detail loss
Independent component,533__M_Right_ring_finger.BMP,0.75,,Contrast reduction + illumination only,contrast_scale=0.5650; illumination_amplitude=0.1200,inf,16.733751863833874,,0.0212141098622093,0.8220631371076423,0.7872883081436157,low contrast
Independent component,533__M_Right_ring_finger.BMP,0.75,,Partial smudge/occlusion only,"radii=(6,19); patch_blur_sigma=4.5000",inf,37.80640586157056,,0.0001657140814327225,0.995614217066586,0.7655124664306641,localized overwritten ridge detail
Sequential current pipeline,158__M_Right_middle_finger.BMP,0.35,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.7028994560241699,reference only
Sequential current pipeline,158__M_Right_middle_finger.BMP,0.35,1.0,Optical/sensor Gaussian blur,sigma=0.9800,inf,24.708926024924406,,0.0033814844723936664,0.9397821740179062,0.7491545677185059,blur removes high-frequency ridge detail
Sequential current pipeline,158__M_Right_middle_finger.BMP,0.35,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.7970; illumination_amplitude=0.0560,24.708926024924406,19.3541221118134,-5.354803913111006,0.011603467463560826,0.8227872374976613,0.7807251214981079,low contrast can bury weak ridges
Sequential current pipeline,158__M_Right_middle_finger.BMP,0.35,3.0,Gaussian sensor noise,sigma=0.0372,19.3541221118134,18.869330741584974,-0.4847913702284252,0.012973791848844061,0.7251803258163295,0.6205689907073975,noise can obscure ridge/valley boundaries
Sequential current pipeline,158__M_Right_middle_finger.BMP,0.35,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000525; salt_probability=0.000525,18.869330741584974,18.707151661216397,-0.16217908036857764,0.013467433317993875,0.7177318826097958,0.6118961572647095,local clipping to 0/1 at impulse pixels
